iter	Logloss
169	0.5088530567
170	0.5086440397
171	0.5084978404
172	0.5083052329
173	0.5079716035
174	0.5075972104
175	0.5074499894
176	0.5073130036
177	0.5068994845
178	0.5065440348
179	0.5063452793
180	0.5061904186
181	0.5059585351
182	0.5056521874
183	0.5055562014
184	0.505366852
185	0.5050533496
186	0.5047937255
187	0.5045506946
188	0.5042777567
189	0.5041360479
190	0.5038868048
191	0.503668099
192	0.5034804008
193	0.5032690744
194	0.503129678
195	0.5027874105
196	0.5024699342
197	0.5023213082
198	0.5021272155
199	0.5019666138
200	0.5017862595
201	0.5016673248
202	0.5014563264
203	0.5012933318
204	0.5009364781
205	0.500741601
206	0.5005235323
207	0.5003217427
208	0.5001664487
209	0.4999834813
210	0.4998104537
211	0.4996478551
212	0.4994151491
213	0.4991900963
214	0.4990436156
215	0.4987445233
216	0.4985424754
217	0.4982319328
218	0.4980552633
219	0.4977064955
220	0.4974392694
221	0.4971970308
222	0.4969198658
223	0.4967372824
224	0.4965632911
225	0.4963056856
226	0.4961164192
227	0.4959634262
228	0.4955041999
229	0.4950949245
230	0.4947968042
231	0.4945761558
232	0.4944299028
233	0.4941003311
234	0.4939539089
235	0.4937375836
236	0.4934846938
237	0.4932016163
238	0.4929252301
239	0.4925549526
240	0.4923559184
241	0.4920425505
242	0.4917763829
243	0.4914349581
244	0.4912161537
245	0.490963953
246	0.4907465706
247	0.4904806576
248	0.490282694
249	0.4899488254
250	0.4897149939
251	0.4894430383
252	0.4892177851
253	0.4889277207
254	0.4887112734
255	0.4884850322
256	0.4882350118
257	0.4880409112
258	0.4877629668
259	0.4875382199
260	0.4872782036
261	0.48694295
262	0.4866855
263	0.4864760132
264	0.4862714529
265	0.4860810044
266	0.4858673977
267	0.4855636689
268	0.4853012134
269	0.4850709879
270	0.4848453304
271	0.4845863268
272	0.4843065462
273	0.4840701738
274	0.4838427933
275	0.4836207172
276	0.4834266568
277	0.4832242749
278	0.4830030323
279	0.4826539302
280	0.4822737791
281	0.482106077
282	0.4818715794
283	0.4815672211
284	0.4813875459
285	0.4810894087
286	0.4808668762
287	0.4805819335
288	0.4803248576
289	0.4800432079
290	0.4798267153
291	0.4795904823
292	0.4793788169
293	0.4791198612
294	0.4789111313
295	0.4786252577
296	0.4784315672
297	0.4781467149
298	0.4779584637
299	0.4777605515
300	0.4775547099
301	0.4773781024
302	0.4771326971
303	0.4769081454
304	0.4766576012
305	0.4764646133
306	0.4762691269
307	0.4760530818
308	0.4758442705
309	0.4756550288
310	0.475479213
311	0.4752623323
312	0.4750872867
313	0.4748583745
314	0.4746462733
315	0.4744893928
316	0.4742204923
317	0.4740215367
318	0.4738025514
319	0.473572432
320	0.4733680386
321	0.4731238912
322	0.4728891557
323	0.4727280539
324	0.472412674
325	0.4721493922
326	0.4719355465
327	0.4717183466
328	0.4715362361
329	0.4713432098
330	0.4711571712
331	0.4709383884
332	0.4708219955
333	0.470606127
334	0.4704155604
335	0.4701797181
336	0.4700342201
337	0.4699042675
338	0.4697559031
339	0.4696033023
340	0.4694384926
341	0.4692083202
342	0.4689986609
343	0.4687335543
344	0.4684891981
345	0.4682253763
346	0.4680986477
347	0.4679003566
348	0.4677853234
349	0.4676146947
350	0.4674471699
351	0.4672669599
352	0.4669842503
353	0.4668227824
354	0.4667044012
355	0.4665780621
356	0.4664142654
357	0.4662766212
358	0.4661109638
359	0.4658410848
360	0.4656285699
361	0.4654854053
362	0.4653131014
363	0.4650611891
364	0.4648827064
365	0.4647551405
366	0.4645141196
367	0.4642675799
368	0.4640181445
369	0.4638124317
370	0.4636077664
371	0.4634172209
372	0.4632038919
373	0.4629649636
374	0.4627507623
375	0.4625751486
376	0.4623553685
377	0.4621920145
378	0.461987355
379	0.4618108751
380	0.4616112005
381	0.4613933234
382	0.4611768912
383	0.4609708201
384	0.4607324944
385	0.460548143
386	0.4604049831
387	0.4602111439
388	0.4600336929
389	0.4597858884
390	0.4596057459
391	0.4594544114
392	0.4593125887
393	0.4591619226
394	0.4590520311
395	0.4588286538
396	0.4586590702
397	0.4584704751
398	0.4582940013
399	0.4581356734
400	0.4579129389
401	0.4577481943
402	0.4576291277
403	0.4574431927
404	0.4572593928
405	0.4570689679
406	0.456944017
407	0.456752161
408	0.4565976733
409	0.4564470589
410	0.4562654906
411	0.4560907637
412	0.4559315783
413	0.4558651353
414	0.4556676797
415	0.4554729875
416	0.4551992443
417	0.4550689503
418	0.4548574735
419	0.4546865901
420	0.4544992708
421	0.4543037318
422	0.4541508088
423	0.4540021142
424	0.4538604127
425	0.4537212945
426	0.4535425231
427	0.4534219737
428	0.4531457263
429	0.4530216272
430	0.4527880134
431	0.4526305846
432	0.4524281524
433	0.4522637117
434	0.4521399741
435	0.4520254983
436	0.4518840389
437	0.4517215233
438	0.4514897379
439	0.4513492131
440	0.4511587899
441	0.4510547614
442	0.4509129203
443	0.4507571022
444	0.4505600841
445	0.4502503449
446	0.4500816572
447	0.4499809587
448	0.4498209628
449	0.449685577
450	0.4495451864
451	0.4493487007
452	0.4492210863
453	0.4490482213
454	0.4489045772
455	0.4487425372
456	0.4485967553
457	0.4483546073
458	0.448169978
459	0.4480564435
460	0.4479420272
461	0.4478204675
462	0.4476294185
463	0.4475109639
464	0.4473222758
465	0.4470471586
466	0.4468321031
467	0.4466241186
468	0.446402267
469	0.4462697157
470	0.4460486868
471	0.4459452141
472	0.4457198059
473	0.4456448419
474	0.4454992816
475	0.445365078
476	0.4452070523
477	0.4450700899
478	0.4447650973
479	0.4446339867
480	0.4444313492
481	0.4443473921
482	0.4441305878
483	0.4439609191
484	0.4437825751
485	0.4436566733
486	0.4435238113
487	0.443300191
488	0.443126359
489	0.4430374983
490	0.4428062117
491	0.4426947337
492	0.4425368607
493	0.4423413357
494	0.4421552352
495	0.4419870068
496	0.4418512083
497	0.4417409285
498	0.4416592261
499	0.441508575
